"classes","nr"
"bipolar",2
"rods",5
"bipolar",2
"amacrine",1
"rods",5
"rods",5
"amacrine",1
"rods",5
"amacrine",1
"rods",5
"rods",5
"rods",5
"rods",5
"amacrine",1
"bipolar",2
"muller",4
"rods",5
"rods",5
"rods",5
"bipolar",2
"bipolar",2
"rods",5
"amacrine",1
"rods",5
"rods",5
"amacrine",1
"rods",5
"rods",5
"amacrine",1
"rods",5
"rods",5
"bipolar",2
"rods",5
"rods",5
"rods",5
"rods",5
"rods",5
"bipolar",2
"rods",5
"rods",5
"bipolar",2
"rods",5
"rods",5
"rods",5
"rods",5
"rods",5
"rods",5
"rods",5
"muller",4
"amacrine",1
"bipolar",2
"rods",5
"bipolar",2
"rods",5
"rods",5
"rods",5
"rods",5
"bipolar",2
"amacrine",1
"muller",4
"bipolar",2
"bipolar",2
"rods",5
"muller",4
"bipolar",2
"amacrine",1
"bipolar",2
"rods",5
"rods",5
"muller",4
"rods",5
"amacrine",1
"bipolar",2
"rods",5
"rods",5
"amacrine",1
"rods",5
"amacrine",1
"bipolar",2
"amacrine",1
"bipolar",2
"rods",5
"amacrine",1
"bipolar",2
"rods",5
"cones",3
"amacrine",1
"rods",5
"rods",5
"rods",5
"bipolar",2
"rods",5
"rods",5
"rods",5
"rods",5
"bipolar",2
"bipolar",2
"rods",5
"rods",5
"rods",5
"amacrine",1
"rods",5
"rods",5
"rods",5
"rods",5
"amacrine",1
"bipolar",2
"rods",5
"amacrine",1
"rods",5
"muller",4
"bipolar",2
"muller",4
"bipolar",2
"rods",5
"bipolar",2
"amacrine",1
"rods",5
"rods",5
"bipolar",2
"rods",5
"bipolar",2
"amacrine",1
"bipolar",2
"bipolar",2
"bipolar",2
"rods",5
"rods",5
"bipolar",2
"bipolar",2
"rods",5
"rods",5
"bipolar",2
"amacrine",1
"cones",3
"bipolar",2
"amacrine",1
"bipolar",2
"rods",5
"rods",5
"amacrine",1
"amacrine",1
"bipolar",2
"rods",5
"rods",5
"amacrine",1
"rods",5
"rods",5
"muller",4
"muller",4
"muller",4
"rods",5
"bipolar",2
"bipolar",2
"bipolar",2
"amacrine",1
"rods",5
"rods",5
"rods",5
"rods",5
"rods",5
"amacrine",1
"rods",5
"rods",5
"amacrine",1
"rods",5
"rods",5
"bipolar",2
"rods",5
"rods",5
"bipolar",2
"rods",5
"bipolar",2
"rods",5
"bipolar",2
"rods",5
"amacrine",1
"rods",5
"rods",5
"bipolar",2
"rods",5
"bipolar",2
"rods",5
"amacrine",1
"bipolar",2
"bipolar",2
"rods",5
"rods",5
"rods",5
"rods",5
"amacrine",1
"bipolar",2
"muller",4
"rods",5
"rods",5
"rods",5
"rods",5
"rods",5
"rods",5
"rods",5
"bipolar",2
"rods",5
"bipolar",2
"bipolar",2
"rods",5
"amacrine",1
"muller",4
"rods",5
"amacrine",1
"rods",5
"rods",5
"muller",4
"rods",5
"rods",5
"bipolar",2
"rods",5
"rods",5
"rods",5
"amacrine",1
"amacrine",1
"amacrine",1
"rods",5
"amacrine",1
"rods",5
"amacrine",1
"bipolar",2
"bipolar",2
"bipolar",2
"bipolar",2
"rods",5
"rods",5
"rods",5
"rods",5
"rods",5
"cones",3
"amacrine",1
"rods",5
"bipolar",2
"rods",5
"rods",5
"rods",5
"bipolar",2
